"","value","Estimate","Std. Error","df","t value","Pr(>|t|)","feature","metadata","qval","p_bh"
"162","Nasal",-0.111886439561535,0.306962223947607,17.5298054757969,-0.364495794051298,0.719847611788701,"Atopobacter","sample_type",0.95105694405196,0.95105694405196
"163","Sputum",0.0210560306770627,0.34768047977948,16.2570613711492,0.0605614404651586,0.952446752034706,"Atopobacter","sample_type",0.997270903740972,0.997270903740972
"164","lypma",-0.185151604359028,0.188432636406839,71.2252788205929,-0.982587771893577,0.329136362525434,"Atopobacter","lypma",0.57598863441951,0.57598863441951
"165","benzonase",-0.0856895922744834,0.189125457276184,71.5838703028034,-0.453083331607489,0.651859122411056,"Atopobacter","benzonase",0.911292249650538,0.911292249650538
"166","host_zero",-0.0851449031604746,0.189125457276184,71.5838703008848,-0.450203290380604,0.653924374173766,"Atopobacter","host_zero",0.911292249650538,0.911292249650538
"167","molysis",-0.134168522020445,0.188928300996736,71.4777831916917,-0.710155764449302,0.479918109707487,"Atopobacter","molysis",0.749646184337342,0.749646184337342
"168","qiaamp",-0.163807043690617,0.188338077735223,71.2000057064249,-0.869750003081729,0.387359770375,"Atopobacter","qiaamp",0.636035178516975,0.636035178516975
"169","Nasal",-0.0227121936315213,0.497561852418889,18.92060814269,-0.0456469753882987,0.964069969225352,"Gemella","sample_type",0.997270903740972,0.997270903740972
"170","Sputum",2.41525454958483,0.554710088079835,16.5506521889158,4.3540844154203,0.000457276512811731,"Gemella","sample_type",0.00493117104356434,0.00493117104356434
"171","lypma",-0.0683263826413432,0.410054531278909,73.2773888774354,-0.166627551775228,0.86812205063278,"Gemella","lypma",0.983888428601341,0.983888428601342
"172","benzonase",0.500336501532165,0.411148583542422,73.7664911397435,1.21692381187673,0.227512310963898,"Gemella","benzonase",0.477717583055213,0.477717583055213
"173","host_zero",0.828745612764459,0.411148583542423,73.7664911386811,2.01568397882842,0.0474759954187007,"Gemella","host_zero",0.166165983965452,0.166165983965452
"174","molysis",0.774522265077836,0.410842235967298,73.6227644892702,1.88520604084018,0.0633480595784256,"Gemella","molysis",0.200602188665014,0.200602188665014
"175","qiaamp",0.88200411224241,0.409882649392692,73.2302835091162,2.15184544539575,0.034706783149873,"Gemella","qiaamp",0.140819562889041,0.140819562889041
"176","Nasal",-0.0807486363134769,0.464300938464767,17.6055807369416,-0.173914437003888,0.863916816124997,"Mogibacterium","sample_type",0.983888428601341,0.983888428601342
"177","Sputum",0.930896132823369,0.523519046439279,16.046395581625,1.77815141427016,0.0943309017307911,"Mogibacterium","sample_type",0.265056547821026,0.265056547821026
"178","lypma",-0.345593248527542,0.316212990474567,71.5997641056807,-1.0929128749862,0.278095653499852,"Mogibacterium","lypma",0.534454159971218,0.534454159971218
"179","benzonase",-0.0847679205618706,0.317277568718554,72.0132420377917,-0.26717275004419,0.790099807519597,"Mogibacterium","benzonase",0.975596495701065,0.975596495701065
"180","host_zero",0.26184713324363,0.317277568718554,72.0132420382397,0.825293556998683,0.41193054652074,"Mogibacterium","host_zero",0.665426267456581,0.665426267456581
"181","molysis",0.490695595331485,0.316975849509886,71.8909518267522,1.54805356966535,0.126000586296293,"Mogibacterium","molysis",0.315444432598533,0.315444432598533
"182","qiaamp",0.0896417116232765,0.316061502009989,71.5677767518446,0.283621102390519,0.777519633669573,"Mogibacterium","qiaamp",0.975567087528804,0.975567087528804
"183","Nasal",-1.03160289527844,0.74797425594665,18.8843871415948,-1.37919572375231,0.183950915133582,"Streptococcus","sample_type",0.412038627636942,0.412038627636942
"184","Sputum",3.20694902443871,0.834792611310506,16.5860469332532,3.84161165418589,0.00135956920562983,"Streptococcus","sample_type",0.0126155375127047,0.0126155375127047
"185","lypma",0.609946492020988,0.607022129137558,73.197788338918,1.00481755564263,0.318294900540281,"Streptococcus","lypma",0.559469891258027,0.559469891258027
